W,N,seed,variant,phi_total,solve_ms,cross_cabin_ratio,cross_layer_ratio,sla,infeas_rate,phi_rep,phi_load,phi_cab,phi_sec
10,500,3,FirstFit,774.0266366756089,2.6464159600436687,0.988,0.962,7866.467171368536,0.0,420.65456428023293,220.4257039570007,19.8963684383753,113.04999999999998
10,500,3,Random,1148.9816150014326,1.572582870721817,0.776,0.244,37847.223344221165,0.0,352.15516484539376,378.5054645997277,39.270985556311054,379.04999999999995
10,500,4,Ours,1131.5518196671226,5.487625021487474,0.756,0.336,59478.547271716685,0.0,358.06390350167436,349.88094194070067,29.956974224747505,393.6499999999999
10,500,4,NoRep,1091.9027048033458,5.581167060881853,0.77,0.29,36194.17360153284,0.0,359.37820798298503,327.36180474124853,27.61269207911218,377.54999999999995
10,500,4,NoPred,1187.7987056837324,4.935874603688717,0.236,0.338,60314.35047383515,0.0,358.1413020637141,411.8919834688681,23.415420151150272,394.3499999999999
10,500,4,NoCabin,1132.8259505977553,5.784041713923216,0.8,0.334,59029.19214729235,0.0,358.57612230802505,347.7918623909277,31.757965898802663,394.7
10,500,4,NoSec,1100.8282205162122,5.091584287583828,0.742,0.34,60720.35867429296,0.0,354.3852266502657,346.1760516904752,29.366942175471138,370.9
10,500,4,FlatCCF,684.9124817077491,3.0037909746170044,1.0,1.0,0.0,0.0,423.3199729294841,152.94348480966238,16.349023968602584,92.29999999999998
10,500,4,GreedyByLoad,1235.596965710665,1.0419166646897793,0.8,0.346,81508.07010852266,0.0,341.7230755705914,430.0562721792129,42.51761796086073,421.29999999999995
10,500,4,FirstFit,734.0405707208505,2.7259583584964275,0.988,0.962,10845.65757375305,0.0,419.19234482677064,178.56547130352456,19.482754590555302,116.79999999999998
10,500,4,Random,1155.1494077425643,1.5332908369600773,0.798,0.304,47815.19237503318,0.0,352.4355692581597,388.82073271291176,32.49310577149288,381.4
20,50,0,Ours,116.48982229233054,0.9769592434167862,0.8,0.24,4860.0000910394265,0.0,34.933619756931165,35.46360516264352,3.9425973727558805,42.15
20,50,0,NoRep,114.64265971869649,0.9696660563349724,0.82,0.22,3771.296351499548,0.0,35.095739742130974,34.26345461254134,3.8334653640241942,41.449999999999996
20,50,0,NoPred,123.9533089524206,0.8294158615171909,0.16,0.26,5742.900507645363,0.0,34.635483499082355,42.7118250671396,3.05600038619867,43.550000000000004
20,50,0,NoCabin,119.87960739896947,0.9223329834640026,0.86,0.28,6722.448419242126,0.0,34.31675938170508,37.41134818534528,3.551499831919116,44.6
20,50,0,NoSec,116.57521321184122,0.9229998104274273,0.76,0.28,6113.758599854097,0.0,33.79132120692143,36.37639227199804,3.9074997329217616,42.5
20,50,0,FlatCCF,73.62065008211749,0.6690002046525478,1.0,1.0,0.0,0.0,42.149345414779184,19.870824567808935,2.000480099529375,9.599999999999998
20,50,0,GreedyByLoad,131.81539367063823,0.26954105123877525,0.92,0.28,8158.663776952825,0.0,32.004083770552654,46.228602377735605,5.1327075223499605,48.45
20,50,0,FirstFit,90.70917850993351,0.4742080345749855,0.94,0.62,32.59159411806469,0.0,39.39112907901843,26.75077781243341,2.367271618481685,22.199999999999996
20,50,0,Random,126.64637927443461,0.25958335027098656,0.88,0.14,5322.096258417009,0.0,33.3781222347952,44.04745963629565,3.57079740334377,45.65
20,50,1,Ours,110.07812061637883,0.8605830371379852,0.68,0.22,3632.517882157719,0.0,35.84012798074129,36.79092604889503,2.397066586742486,35.050000000000004
20,50,1,NoRep,108.61687069160874,0.8394168689846992,0.68,0.2,2467.891192523126,0.0,35.80137261243547,35.411219762890916,2.354278316282334,35.05
20,50,1,NoPred,112.98119956475037,0.7968340069055557,0.16,0.24,4611.116712116436,0.0,35.7650781186659,39.33027915771865,2.135842288365827,35.75
20,50,1,NoCabin,111.821219659093,0.8644582703709602,0.84,0.24,4600.991466100151,0.0,35.652271074223755,37.722231700395156,3.3967168844740767,35.050000000000004
20,50,1,NoSec,108.67272922939158,0.9968332014977932,0.66,0.22,3631.7985302139414,0.0,35.58899645316821,36.6973588705555,2.3863739056678788,33.99999999999999
